order_date_received,accessioning_type,sample_id,arsenic_ug_g,cadmium_ug_g,lead_ug_g,mercury_ug_g,Arsenic_LOD,Cadmium_LOD,Lead_LOD,Mercury_LOD,mercury,lead,cadmium,arsenic
01/22/2021 01:10 PM,Flower,210121-034,0.0154,0.0568,0.0994666666667,0.0129666666667,0.042,0.016,0.042,0.016,0.0129666666667,0.0994666666667,0.0568,0.0154
01/25/2021 03:28 PM,Flower,210125-030,0.0101333333333,0.0634666666667,0.0861333333333,0.0173333333333,0.042,0.016,0.042,0.016,0.0173333333333,0.0861333333333,0.0634666666667,0.0101333333333
01/25/2021 12:16 PM,Flower,210124-005,,0.0791,0.0192333333333,0.0175333333333,0.042,0.016,0.042,0.016,0.0175333333333,0.0192333333333,0.0791,0.029468028896043382
01/25/2021 12:16 PM,Flower,210124-006,0.200333333333,0.0235,0.0360333333333,0.0168666666667,0.042,0.016,0.042,0.016,0.0168666666667,0.0360333333333,0.0235,0.200333333333
01/25/2021 12:16 PM,Flower,210124-007,,0.227333333333,0.0230333333333,0.0182333333333,0.042,0.016,0.042,0.016,0.0182333333333,0.0230333333333,0.227333333333,0.026934773382147684
01/25/2021 12:16 PM,Flower,210124-008,0.124333333333,0.142,0.201,0.0191,0.042,0.016,0.042,0.016,0.0191,0.201,0.142,0.124333333333
01/25/2021 12:16 PM,Flower,210124-009,,0.0635666666667,0.0420333333333,0.0196666666667,0.042,0.016,0.042,0.016,0.0196666666667,0.0420333333333,0.0635666666667,0.04137876887690003
01/25/2021 12:16 PM,Flower,210124-010,,0.158666666667,0.0301666666667,0.0180666666667,0.042,0.016,0.042,0.016,0.0180666666667,0.0301666666667,0.158666666667,0.020436196825878217
01/27/2021 01:09 PM,Flower,210127-068,0.181333333333,0.0556,,0.00713333333333,0.042,0.016,0.042,0.016,0.00713333333333,0.002780952314074648,0.0556,0.181333333333
01/27/2021 03:36 PM,Flower,210127-069,0.0517333333333,0.0676666666667,0.312333333333,0.0139666666667,0.042,0.016,0.042,0.016,0.0139666666667,0.312333333333,0.0676666666667,0.0517333333333
01/27/2021 03:36 PM,Flower,210127-070,0.116333333333,0.0125333333333,0.0322,0.0141,0.042,0.016,0.042,0.016,0.0141,0.0322,0.0125333333333,0.116333333333
01/27/2021 03:36 PM,Flower,210127-071,0.0509,0.0395666666667,0.347333333333,0.0161666666667,0.042,0.016,0.042,0.016,0.0161666666667,0.347333333333,0.0395666666667,0.0509
01/27/2021 04:06 PM,Leaf/Mixed Plant Material,210126-015,0.0562666666667,0.0248666666667,0.0214666666667,0.00593333333333,0.042,0.016,0.042,0.016,0.00593333333333,0.0214666666667,0.0248666666667,0.0562666666667
02/01/2021 01:41 PM,Flower,210131-001,,0.0209,0.0186333333333,0.0109,0.042,0.016,0.042,0.016,0.0109,0.0186333333333,0.0209,0.03620969642894534
02/01/2021 01:41 PM,Flower,210131-002,,0.0770666666667,0.0249,0.0093,0.042,0.016,0.042,0.016,0.0093,0.0249,0.0770666666667,0.014346482918822628
02/01/2021 01:41 PM,Flower,210131-003,0.039,0.0791,0.0211333333333,0.0108333333333,0.042,0.016,0.042,0.016,0.0108333333333,0.0211333333333,0.0791,0.039
02/01/2021 01:41 PM,Flower,210131-004,0.0319,0.0522333333333,0.0209,0.0087,0.042,0.016,0.042,0.016,0.0087,0.0209,0.0522333333333,0.0319
02/11/2021 11:13 AM,Flower,210210-010,0.252,0.173666666667,0.562333333333,0.0657666666667,0.042,0.016,0.042,0.016,0.0657666666667,0.562333333333,0.173666666667,0.252
02/12/2021 11:50 AM,Flower,210211-027,0.0557,0.0313333333333,0.151333333333,0.00946666666667,0.042,0.016,0.042,0.016,0.00946666666667,0.151333333333,0.0313333333333,0.0557
02/16/2021 02:24 PM,Flower,210210-007,0.0867,0.0303333333333,0.0427333333333,0.00606666666667,0.042,0.016,0.042,0.016,0.00606666666667,0.0427333333333,0.0303333333333,0.0867
02/16/2021 02:24 PM,Flower,210210-008,0.170666666667,0.130333333333,0.0404666666667,0.0036,0.042,0.016,0.042,0.016,0.0036,0.0404666666667,0.130333333333,0.170666666667
02/16/2021 11:57 AM,Flower,210215-071,,0.0664666666667,0.117333333333,0.00866666666667,0.042,0.016,0.042,0.016,0.00866666666667,0.117333333333,0.0664666666667,0.017658887331975685
02/18/2021 01:52 PM,Leaf/Mixed Plant Material,210217-016,34.6666666667,4.31,,0.142666666667,0.042,0.016,0.042,0.016,0.142666666667,0.023153366183653625,4.31,34.6666666667
02/19/2021 01:31 PM,Flower,210219-004,0.0293,0.0630666666667,0.123,0.0171,0.042,0.016,0.042,0.016,0.0171,0.123,0.0630666666667,0.0293
02/19/2021 02:52 PM,Flower,210218-006,0.195333333333,0.0851333333333,0.164666666667,0.0166333333333,0.042,0.016,0.042,0.016,0.0166333333333,0.164666666667,0.0851333333333,0.195333333333
02/19/2021 11:49 AM,Leaf/Mixed Plant Material,210216-007,,0.0179666666667,0.00556666666667,0.0089,0.042,0.016,0.042,0.016,0.0089,0.00556666666667,0.0179666666667,0.011738014620516853
02/19/2021 11:49 AM,Flower,210216-009,0.0186333333333,0.0813333333333,0.0528333333333,0.0118,0.042,0.016,0.042,0.016,0.0118,0.0528333333333,0.0813333333333,0.0186333333333
02/19/2021 11:49 AM,Flower,210216-010,0.0041,0.0275333333333,0.0187666666667,0.0077,0.042,0.016,0.042,0.016,0.0077,0.0187666666667,0.0275333333333,0.0041
02/19/2021 11:49 AM,Leaf/Mixed Plant Material,210216-011,0.0228,0.0120333333333,0.00516666666667,0.00553333333333,0.042,0.016,0.042,0.016,0.00553333333333,0.00516666666667,0.0120333333333,0.0228
03/01/2021 12:27 PM,Flower,210301-025,0.289,0.113,0.581666666667,0.267,0.042,0.016,0.042,0.016,0.267,0.581666666667,0.113,0.289
03/01/2021 12:27 PM,Flower,210301-026,0.211666666667,0.0908333333333,0.419,0.022,0.042,0.016,0.042,0.016,0.022,0.419,0.0908333333333,0.211666666667
03/02/2021 04:53 PM,Flower,210302-033,0.871,1.22,1.78,0.227,0.042,0.016,0.042,0.016,0.227,1.78,1.22,0.871
03/02/2021 04:53 PM,Flower,210302-034,0.0184666666667,0.221333333333,0.163333333333,0.0221,0.042,0.016,0.042,0.016,0.0221,0.163333333333,0.221333333333,0.0184666666667
03/02/2021 04:53 PM,Flower,210302-035,,0.137,0.0674666666667,0.0195,0.042,0.016,0.042,0.016,0.0195,0.0674666666667,0.137,0.03804709444065462
03/04/2021 01:32 PM,Flower,210303-004,0.353,0.0347,0.437,0.0199666666667,0.042,0.016,0.042,0.016,0.0199666666667,0.437,0.0347,0.353
03/04/2021 12:43 PM,Flower,210301-012,0.0734,0.0449666666667,0.0402666666667,0.0178666666667,0.042,0.016,0.042,0.016,0.0178666666667,0.0402666666667,0.0449666666667,0.0734
