,pass,pool,percentage
0,0.996,4,0.5775
1,0.996,6,0.41021825396825395
2,0.996,8,0.359375
3,0.996,10,0.3464999999999998
4,0.996,12,0.3596230158730159
5,0.996,14,0.41094619666048254
6,0.996,16,0.427734375
7,0.996,18,0.47971781305114636
8,0.996,20,0.523
