,pass,pool,percentage
0,0.996,3,0.8295635276532136
1,0.996,4,0.6809109999999999
2,0.996,5,0.6285005
3,0.996,6,0.6167208581349206
4,0.996,7,0.624643106022897
5,0.996,8,0.64206396484375
6,0.996,9,0.6630211111111111
7,0.996,10,0.6845996249999999
8,0.996,11,0.7048009236752553
9,0.996,12,0.7224973958333333
10,0.996,13,0.737664694280079
11,0.996,14,0.7518555194805194
12,0.996,15,0.764586049382716
13,0.996,16,0.7750631103515625
