,pass,pool,percentage
0,0.996,3,0.9207561036372696
1,0.996,4,0.7757674999999999
2,0.996,5,0.7074475
3,0.996,6,0.673670634920635
4,0.996,7,0.6602687904430065
5,0.996,8,0.657298583984375
6,0.996,9,0.6612061728395062
7,0.996,10,0.6691975000000001
8,0.996,11,0.6814742343218279
9,0.996,12,0.6897891865079364
10,0.996,13,0.702513560157791
