arsenic,cadmium,lead,mercury
0.075,0.249,0.087,0.009065653264671588
0.0031341510645568906,0.00011352950553957043,0.00014624706009523658,0.004238001130130837
0.01451343369615449,0.00017923418118168666,0.0007593776559007584,0.0017707585454590884
0.024,0.025,0.016,0.0037538025046339207
0.032,0.047,0.036,0.00794096080187016
0.057,0.056,0.04,0.009354469461738122
0.181,0.058,0.248,0.003404189091035977
0.028,0.068,0.022,0.004297932479442384
0.017,0.025,0.021,0.002335782983020646
0.126,0.088,0.125,0.0010463197800547764
0.027,0.082,0.04,0.008212603613012188
0.017,0.054,0.022,0.0013400903759249912
0.02,0.063,0.02,0.008665926118020133
0.029,0.028,0.033,0.010159772779101893
0.06,0.003792480850598377,0.0006784229345254724,0.003778215836390293
0.007710309356645634,0.003993447921091028,0.00027091215260678235,0.002380503393567324
0.0019699187624828323,0.003417636238367759,0.0033739987066555145,0.000615732721563692
0.037,0.338,0.028,0.02
0.036,0.349,0.028,0.029
0.593,0.426,1.778,0.005094961338405765
0.236,0.127,1.003,0.001965604728831346
0.209,0.157,0.572,0.009200808329434085
0.209,0.283,0.923,0.0015530793996614911
0.149,0.114,0.67,0.0014662218673498393
0.011649844230842851,0.181,0.023,0.0002483716409230551
0.009632342592829538,0.171,0.023,0.007912995794084499
0.061,0.067,0.095,0.002194018790520959
0.015895386646769677,0.0026895980035040825,0.0036408431891972294,0.009943000635337262
0.012141485266267776,0.0015394140791406188,0.0018293002867253124,0.009608938821551593
0.0030071642699963023,0.002414873119754778,0.002300760148495996,0.0061352657237361795
0.012035519383894987,0.0002771859925943807,0.003991404306459424,0.0021708030578140624
0.015392064437988885,0.0015098616179290581,0.0023458526991129696,0.003206926182485227
0.010355010036307228,0.0011629742810129015,0.00387001704277031,0.008591699901813504
0.005136832893181614,0.003242657293513945,0.0020056347972379797,0.008919643956336048
0.005015499153368072,0.0029748635435926513,0.0010693859917559991,0.007318759084728271
0.006107554970459128,0.0033082848813224407,0.0014367058872782007,0.0030137005433657827
0.009939347814535034,0.0030412812025821918,0.0028424795371917158,0.007727296219785699
0.0039122696796019835,0.0010177593785064443,0.00374668191504194,0.005715603009976587
0.098,0.127,0.493,0.00012122429550454827
0.057,0.17,0.355,0.004115641343143091
0.226,0.076,0.488,0.0030969122299665092
0.019,0.0004545914770130808,0.009,0.007954147600320536
0.339,0.442,0.452,0.029
0.067,0.0025342041536522415,0.065,0.0033545402757139916
0.014622327284843863,0.0006697454652939703,0.0018954953984546532,0.005116367787419778
0.008266940481375317,0.0006382696417262168,0.071,0.005187855699436229
0.01117256245789913,0.0006720218865922063,0.0010382078861822972,0.001054616968586023
0.013571901062514291,0.0010812028000813955,0.0007995451877051028,0.0013628039479788119
0.011319291637010285,0.052,0.0021165918052337327,0.005272357605853543
0.00020101567504019258,0.0018332447985228524,0.002301670841441183,0.008831552487378155
0.0017360773627139513,0.001747449739709797,0.003350165335118055,0.0010845182046768929
